,Description,Country,Weather,Time of Day,Season,Activity,student_id,Consistency_Label
249,"beautiful sunset view of the Hungarian Parliament Building on the Danube River, I picked this location because it is one of Europe's most famous landmarks and has beautiful architecture.",Hungary,Sunny,Evening,Fall,sightseeing,1210904,Consistent
250,"A peaceful view of Uzung�l with its famous mosque, surrounded by lush green mountains and a calm reflective lake. I chose this place because i went there and saw it's natural beauty and relaxing atmosphere.",Turkey,Cloudy,Morning,Spring,relaxing,1210904,Consistent
251,A mid-air shot shows a cliff diver jumping into the sea in the historic coastal city of Akko. I chose this location because it offers adventure along with the beauty of Palestinian seaside heritage and it's a place we're not allowed to enter and enjoy despite it's our homeland,Palestine,Sunny,Afternoon,Summer,adventure,1210904,Consistent
252,"A traditional market in Mumbai decorated with colorful fabrics, lanterns, and handcrafted items. It is a place that represents the spirited culture and busy street markets of India, I chose it because I heard about it a lot from my dad who lived there",India,Not Clear,Afternoon,Not Clear,other,1210904,Contradictory
253,"A stunning view of a turquoise bay in Phuket filled with boats and surrounded by dramatic cliffs. I chose this place because I dream of visiting it one day , its crystal-clear water and tropical beauty make it one of my top travel wishes.",Thailand,Sunny,Afternoon,Summer,water,1210904,Consistent
254,A bright tent under the Northern Lights in a frozen field surrounded by mountains. I chose this place because I have always wanted to go there and see the aurora while camping in nature.,Norway,Snowy,Night,Winter,camping,1210904,Consistent
255,A view of the snow-capped Himalayan peaks with Mount Everest soaring above the clouds. I picked this site because it is one of the most beautiful and well-known natural marvels on Earth.,Nepal,Snowy,Morning,Winter,nature,1210904,Consistent
256,A beautiful view of an island in the Maldives with over-water villas surrounded by clear blue water. I chose this destination because it looks very relaxing.,Maldives,Sunny,Evening,Summer,relaxing,1210904,Consistent
257,"A street in Chefchaouen, the well-known Blue City of Morocco, with someone walking through its colorful streets. I picked this place because it has a special beauty and lovely blue buildings.",Morroco,Sunny,Afternoon,Summer,sightseeing,1210904,Consistent
258,"A beautiful view from the Lauterbrunnen Valley in Switzerland, with some lovely houses, green fields, and a big waterfall coming down from the top of the hill. I picked this place because I love green things and I wish to stay in a calm place that is that much peaceful.",Switzerland,Sunny,Morning,Spring,nature,1210904,Consistent
259,Temple complex surrounded by lush tropical greenery; spiritual atmosphere in an Indonesian setting.,Indonesia,Not Clear,Not Clear,Not Clear,sightseeing,1210988,Contradictory
260,Mountain valley in Paro with steep slopes and distant peaks; tranquil Himalayan scenery.,Bhutan,Not Clear,Not Clear,Not Clear,sightseeing,1210988,Contradictory
261,Coastal town with white buildings above the sea; classic Aegean-style setting in Greece.,Greece,Sunny,Evening,Summer,relaxing,1210988,Consistent
262,Calm lake bay in Masuria framed by dense forest; quiet water and green shoreline.,Poland,Not Clear,Not Clear,Summer,relaxing,1210988,Contradictory
263,Mountain valley with rugged peaks and green slopes in Andorra; highland landscape.,Andorra,Sunny,Afternoon,Summer,hiking,1210988,Consistent
264,Arid valley near Fataga in Gran Canaria with rocky hillsides and sparse vegetation.,Spain,Sunny,Afternoon,Summer,sightseeing,1210988,Consistent
265,River gorge in the Pieniny range with limestone walls and forested banks.,Poland,Not Clear,Not Clear,Summer,hiking,1210988,Contradictory
266,Beachfront at Costa Teguise in North Lanzarote with soft morning light on the shore.,Spain,Sunny,Morning,Summer,relaxing,1210988,Consistent
267,Valley scene in Dolina Koscieliska with alpine meadows and surrounding peaks.,Poland,Sunny,Afternoon,Summer,hiking,1210988,Consistent
268,River and hills near Bystrzyca Klodzka with tree-lined banks and a quiet flow.,Poland,Not Clear,Not Clear,Not Clear,relaxing,1210988,Contradictory
269,"""is one of the most magical places in Tunisia, known for its stunning blue-and-white architecture that makes every street feel like a postcard. Perched on a hill overlooking the Mediterranean Sea, the village is full of narrow cobblestone paths, bright blue doors and windows, and whitewashed walls that glow under the sun. This unique color theme was inspired by Andalusian design and later preserved by artists and locals who wanted to protect the village�s charm.
What makes Sidi Bou Sa�d truly amazing is the atmosphere: a mix of calm seaside views, artistic caf�s, local crafts, and a gentle breeze from the sea.""",Tunisia,Sunny,Morning,Summer,sightseeing,1211061,Consistent
270,"""located in Phang Nga Bay near Phuket, is one of Thailand�s most iconic natural landmarks. The moment you arrive, you�re greeted by towering limestone cliffs rising straight out of emerald-green waters�an otherworldly sight that feels almost unreal. The island became world-famous after appearing in the James Bond movie The Man with the Golden Gun, but its beauty goes far beyond the film.
What makes this place truly incredible is its dramatic scenery: vertical rock formations, hidden lagoons, peaceful mangroves, and the way the sea sparkles around the cliffs. The contrast between the limestone pillars and the calm water creates a sense of adventure and calm at the same time. If you�ve been there, you already know how breathtaking it feels to stand in front of those massive rocks�it�s a place that stays in your memory long after you leave, full of natural wonder, Thai charm, and cinematic magic.""",Thailand,Sunny,Morning,Summer,hiking,1211061,Consistent
271,"""one of Switzerland�s most beautiful and peaceful destinations, known for its perfect blend of Swiss elegance and Mediterranean charm. Set along the shores of Lake Lugano and surrounded by green mountains, the city feels like a postcard come to life. Its calm blue waters, clean streets, and colorful architecture create an atmosphere that is both relaxing and full of life.
What makes Lugano truly special is how effortlessly nature and culture come together. You can stroll by the lake, explore cozy caf�s, enjoy stunning mountain views, or wander through charming old streets�all in the same day. The warm, sunny climate adds to its beauty, making it feel almost like a little piece of Italy inside Switzerland. If you�ve visited Lugano, you already know how peaceful and breathtaking it is�a place where every view feels refreshing, and every moment feels calm and memorable.""",Switzerland,Sunny,Evening,Not Clear,sightseeing,1211061,Consistent
272,"""one of the most charming and historic places in Switzerland, famous for its beautifully preserved medieval architecture and peaceful atmosphere. Built on a bend of the Aare River, the old town is full of stone arcades, red-roofed buildings, and narrow streets that make you feel like you�ve stepped back in time. The whole area is a UNESCO World Heritage Site, and when you walk through it, you immediately understand why.
What makes Bern�s Old City truly amazing is how it blends history with everyday life. You can explore ancient clock towers, fountains decorated with colorful statues, and traditional shops while still feeling the calm, relaxed pace of a modern Swiss city. The iconic Zytglogge clock tower, the Cathedral, and the beautiful river views give the city a magical charm. If you�ve been there, you already know how unforgettable it feels to walk under the arcades and enjoy the mix of culture, history, and Swiss beauty all around you.""",Switzerland,Cloudy,Evening,Winter,sightseeing,1211061,Consistent
273,"""one of the most enchanting cities in the world, a place where every corner feels like a scene from a storybook. Built entirely on water, the city is famous for its winding canals, graceful bridges, and historic palaces that seem to float above the surface. With its gondolas gliding quietly through narrow waterways and centuries-old architecture reflecting on the water, Venice offers a magical atmosphere you won�t find anywhere else.
What makes Venice truly unforgettable is its unique rhythm�no cars, no rush, just the gentle sound of boats and the charm of getting lost in its maze-like streets. The city is full of beauty: St. Mark�s Square with its grand basilica, colorful hidden alleys, artisan shops, and romantic canals everywhere you look. If you�ve visited Venice, you already know how surreal it feels to walk through a city where water becomes part of everyday life. It�s a place where history, art, and pure charm come together to create an experience that stays with you forever.""",Italy,Sunny,Evening,Not Clear,relaxing,1211061,Consistent
274,"""one of the most remarkable places in the world�small in size, but incredibly rich in history, art, and spiritual significance. As the heart of the Catholic Church, it holds centuries of culture within its walls. When you walk through its grand spaces, you�re surrounded by masterpieces created by some of the world�s greatest artists, from Michelangelo�s breathtaking Sistine Chapel ceiling to the towering beauty of St. Peter�s Basilica.
What makes Vatican City truly unforgettable is the feeling of awe it inspires. The atmosphere is peaceful and powerful at the same time, with architecture that leaves you speechless and artwork that tells stories from centuries past. Whether you�re exploring the museums, standing in the vast St. Peter�s Square, or simply admiring the intricate details around you, the Vatican has a unique way of making every moment feel meaningful. If you�ve been there, you already know how overwhelming and inspiring it is�a place where history, faith, and art come together unlike anywhere else on Earth.""",Italy,Cloudy,Morning,Fall,sightseeing,1211061,Consistent
275,"""known as Quartiere Copped�feels like stepping into a dream. Hidden away from the busy streets, this small neighborhood is filled with magical architecture that looks straight out of a fairytale. Designed by Gino Copped� in the early 1900s, it mixes Gothic, Baroque, Art Nouveau, and even medieval styles, creating a world unlike anything else in Rome.
What makes the Fantasy District truly amazing is the way every building has its own personality. You�ll see ornate balconies, colorful mosaics, grand archways, and whimsical details everywhere you look. The famous Fountain of the Frogs sits at the heart of the area, adding to the district�s charming, storybook feel. Walking through these streets feels like exploring a movie set�mysterious, artistic, and full of surprises. If you�ve been there, you know how unforgettable it is: a peaceful corner of Rome where imagination and architecture come together beautifully.""",Italy,Sunny,Afternoon,Winter,sightseeing,1211061,Consistent
276,"""is one of the most breathtaking cathedrals in the world�a masterpiece that instantly captures your attention with its incredible detail and towering beauty. Covered in delicate spires, statues, and marble carvings, the cathedral looks almost like a sculpture rising toward the sky. Its Gothic architecture is both dramatic and elegant, making it the true heart of Milan.
What makes the Duomo especially unforgettable is the experience of standing in front of it. The square around it feels alive, and the cathedral�s massive size and shimmering white marble create a sense of awe. Inside, the tall pillars, stained-glass windows, and peaceful atmosphere offer a moment of calm and reflection. And if you�ve been to the rooftop, you know how magical it is�walking between the spires and seeing all of Milan from above feels like stepping into another world. The Duomo is not just a landmark; it�s a place that stays with you long after you leave.""",Italy,Sunny,Morning,Summer,sightseeing,1211061,Consistent
277,"""one of the most powerful historical landmarks in Europe, a place where the past feels close and real. Once a symbol of division between East and West Berlin, it now stands as a reminder of resilience, hope, and the importance of freedom. Walking along the remaining sections of the Wall, you can still see the marks of history, the stories told through murals, and the emotions expressed in the artwork.
What makes the Berlin Wall truly unforgettable is the contrast between what it once represented and what it symbolizes today. The East Side Gallery, with its colorful paintings and messages of unity, transforms the Wall into an open-air museum of peace and creativity. Visiting the site gives you a deep sense of reflection�you feel the weight of history, but also the strength of people who overcame it. If you�ve been there, you already know how impactful it is: a place where history becomes alive and meaningful, leaving you with a lasting sense of understanding and appreciation.""",Germany,Cloudy,Afternoon,Winter,sightseeing,1211061,Consistent
278,"""one of the most stunning and lively beaches in Cyprus, famous for its crystal-clear turquoise water and soft white sand. The moment you arrive, the whole place feels like a tropical painting�the sea is bright and transparent, the beach stretches wide and clean, and the sunlight gives everything a beautiful glow. With its shallow, calm water, it�s the perfect spot to swim, relax, or just enjoy the incredible views.
What makes Nissi Beach truly amazing is its energy. It�s a place where the atmosphere is both fun and peaceful at the same time. You can walk across the sandbar to the small island offshore, enjoy music and beach activities, or simply sit back and take in the beauty around you. If you�ve visited it before, you already know that Nissi Beach has a special vibe�you feel refreshed, happy, and connected to the sea from the moment you step onto the sand. It�s a place that stays in your memory long after you leave.""",Cyprus,Sunny,Morning,Summer,relaxing,1211061,Consistent
279,"Peaceful vineyards by Lake Geneva in Switzerland, chosen for its relaxing countryside and scenic beauty away from the city.",Switzerland,Sunny,Afternoon,Summer,relaxing,1211083,Consistent
280,"Fouji Mountain in Japan, chosen for its breathtaking view and fascination with the iconic peak.",Japan,Sunny,Afternoon,Summer,sightseeing,1211083,Consistent
281,A beautifully lit traditional Chinese pagoda at night. I chose it because the architecture is striking and instantly evokes classic Chinese design.,China,Not Clear,Evening,Summer,sightseeing,1211083,Consistent
282,"The Aurora Borealis over a snowy coast, a magical sight that always warms my heart.",Norway,Snowy,Evening,Winter,relaxing,1211083,Consistent
283,"The mysterious stone statues of Easter Island, which have always made me wonder about their meaning and creation.",Easter Island,Sunny,Morning,Summer,sightseeing,1211083,Consistent
284,"A peaceful lakeside landscape in Morschach, Switzerland, surrounded by mountains and greenery. I chose it because it is a place where I can relax and connect with nature.",Switzerland,Sunny,Morning,Spring,relaxing,1211083,Consistent
285,"The Al-Aqsa Mosque in Palestine my home, a historic and sacred site. I chose it because it is the place I most want to revisit.",Palestine,Sunny,Afternoon,Summer,religious,1211083,Consistent
286,"A scenic mountainous trail in Domani�, T�rkiye, surrounded by colorful fall foliage. I chose it because I want to experience hiking in a place like this.",T�rkiye,Sunny,Morning,Fall,hiking,1211083,Consistent
287,"Korean street food trucks in Gwangju, Korea, bustling with local flavors. I chose it because I have always wanted to try Korean street food.",Korea,Rainy,Evening,Winter,sightseeing,1211083,Contradictory
288,"Historic landmarks in Rome, Italy, showcasing the city's rich architectural heritage. I chose it because I want to visit these sites and explore Italy's history.",Italy,Cloudy,Afternoon,Not Clear,sightseeing,1211083,Consistent
289,"A breathtaking view of the Alhambra Palace in Granada during sunset, where the purple sky blends with the warm golden lights of its historic Andalusian architecture. I chose this place because I deeply love Al-Andalus and its rich heritage. It reminds me of a stolen chapter of Islamic history�a broken piece in the heart of our civilization. For me, Alhambra symbolizes the �lost Andalusia,� carrying a quiet dream that its authentic story and identity may one day be restored to its rightful people.",Spain,Sunny,Evening,Fall,sightseeing,1211088,Consistent
290,"A peaceful view of Trabzon overlooking the Black Sea mountains, with traditional wooden houses scattered across green hills and clouds resting on the peaks. I chose this place because its calm nature and dramatic landscapes feel like an escape from the noise of the world. I also love it because it reminds me of traditional Turkish series�the village life, the wooden homes, and the beautiful culture. Trabzon makes me imagine walking through the tea fields in their traditional clothing, especially since this region is famous for tea production, and I personally love tea a lot.",Turkey,Cloudy,Morning,Summer,relaxing,1211088,Consistent
291,"A magical sunset view over the Masai Mara savannah, with an elevated deck overlooking endless golden grasslands. I chose this place because it feels like a scene from a dream�open skies, warm colors, and a peaceful horizon stretching as far as the eye can see. The combination of African wildlife, luxury lodges, and quiet nature makes it one of the most breathtaking destinations in the world. The warm tones and the sense of freedom in the landscape give me a feeling of adventure and serenity at the same time.",Kenya,Sunny,Evening,Summer,sightseeing,1211088,Consistent
292,"A peaceful Japanese garden in Kyoto during peak autumn, with vibrant red and orange maple leaves surrounding a traditional stone path and lantern. I chose this place because Japan�s autumn has always fascinated me�the colors feel alive, warm, and full of emotion. This setting, with its soft light and elegant details, makes me feel like an ancient Japanese princess from the old eras, just like the historical films we grew up watching. Kyoto carries a sense of quiet tradition and spiritual beauty, making this scene feel timeless and magical.",Japan,Sunny,Afternoon,Fall,walking,1211088,Consistent
293,"A dreamy night view of Amsterdam�s canals, with warm yellow lights reflecting on the water and traditional Dutch houses lining both sides of the bridge. I chose this place because its nighttime atmosphere feels magical and calm�like a European fairytale. The reflections, bicycles, narrow streets, and glowing windows all create a cozy and romantic mood. Amsterdam at night always gave me a sense of peaceful wandering and soft city lights.",Netherlands,Sunny,Evening,Fall,walking,1211088,Consistent
294,"A stunning view of Lake Como with its colorful lakeside houses, calm blue water, and surrounding green mountains. I chose this place because it feels like the perfect blend of elegance, nature, and European charm. The peaceful boats, small villages, and warm Italian atmosphere make the scene look straight out of a romantic movie. Lake Como gives me a feeling of serenity and beauty�simple, calm, and effortlessly luxurious.",Italy,Sunny,Afternoon,Summer,relaxing,1211088,Consistent
295,"A magical fantasy-like garden filled with waterfalls, stone pathways, tropical trees, and soft mist that makes the place feel unreal. I chose this destination because it looks like a scene from a dream or a fantasy movie. The atmosphere reminds me of enchanted forests and hidden worlds, and the details of the rocks, water, and greenery feel almost too perfect to be real. This place gives me a sense of childlike wonder and curiosity�like discovering a secret world full of beauty and imagination.",Thailand,Sunny,Afternoon,Summer,relaxing,1211088,Consistent
296,"A beautiful panoramic view of Edinburgh�s historic Old Town, with its stone buildings, narrow streets, and the iconic clock tower rising above the city. I chose this place because its atmosphere feels like stepping into a medieval European story�old architecture, cozy streets, and a soft, classic mood. Edinburgh also reminds me of the magical aesthetic of Harry Potter, with its fantasy-like streets and mysterious charm. The city feels both historical and cinematic, giving me a sense of calm curiosity mixed with a dreamy, fictional vibe.",United Kingdom (Scotland),Cloudy,Afternoon,Fall,walking,1211088,Consistent
297,"A breathtaking night scene from the Yi Peng Lantern Festival in Chiang Mai, where thousands of glowing lanterns rise together into the dark sky. I chose this place because it feels incredibly emotional and cinematic�the kind of moment that makes you pause and take a deep breath. This festival represents one of my biggest dreams, and it always reminds me of the floating lantern scene from Rapunzel. It carries the same sense of magic, hope, and the belief that our dreams can truly come to life someday. The view is so enchanting and otherworldly that it feels almost unreal�beautiful enough to take your breath away.",Thailand,Sunny,Evening,Fall,cultural,1211088,Consistent
298,"A magical winter scene from Finnish Lapland, with glowing glass igloos surrounded by snow and the Northern Lights dancing across the sky. I chose this destination because the aurora has always felt like one of the most unreal and heavenly phenomena on Earth. The mix of cold air, quiet snow, and shimmering green lights creates a moment that feels spiritual, peaceful, and deeply dreamlike. Staying in a warm glass cabin while watching the sky move above me is something I�ve always dreamed of experiencing�an escape into pure nature and pure magic.",Finland,Snowy,Evening,Winter,nature,1211088,Consistent
299,Wide view of the Eiffel Tower glowing at sunset above central Paris. I chose this because I�ve always wanted to see Paris from above and experience its classic city atmosphere.,France,Sunny,Evening,Summer,sightseeing,1211099,Consistent
300,Turquoise Moraine Lake surrounded by sharp snow-capped peaks in Banff National Park. I chose it because I�d love to hike here and see this dramatic alpine scenery in person.,Canada,Sunny,Afternoon,Summer,hiking,1211099,Consistent
301,New York City skyline at sunset with One World Trade Center reflecting the light. I chose it because I want to feel the energy of NYC and see this view from the water.,United States,Cloudy,Evening,Fall,sightseeing,1211099,Consistent
302,Sydney Opera House lit up at dusk with the harbor and city lights around it. I chose it because I�d love to walk along the waterfront and maybe see a performance there.,Australia,Cloudy,Evening,Summer,sightseeing,1211099,Consistent
303,"The carved sandstone facade of the Treasury in Petra, framed by high canyon walls. I chose it because the ancient rock architecture looks like stepping straight into history.",Jordan,Sunny,Afternoon,Fall,sightseeing,1211099,Consistent
304,Bright green aurora borealis stretching over stone arches in an open Icelandic landscape. I chose it because seeing the northern lights in person is one of my biggest travel dreams.,Iceland,Not Clear,Evening,Winter,nature,1211099,Contradictory
305,Mitre Peak rising steeply over the deep blue water of Milford Sound in New Zealand. I chose it because the cliffs and quiet fjord look like a dramatic place to explore by boat.,New Zealand,Sunny,Afternoon,Summer,water,1211099,Consistent
306,"Steep green and rocky cliffs rising from the still water of Milford Sound in New Zealand. I chose it because the fjord looks remote and dramatic, like a hidden world of mountains and sea.",New Zealand,Cloudy,Afternoon,Summer,sightseeing,1211099,Consistent
307,Rolling green hills and cliffs of the Drakensberg mountains in South Africa�s Royal Natal National Park. I chose it because the valleys and peaks look perfect for long nature hikes.,South Africa,Sunny,Morning,Summer,hiking,1211099,Consistent
308,"Snow-covered spruce and aspen trees in a quiet winter forest in Denali National Park, Alaska. I chose this image because it shows the deep snowy forest wilderness I dream of exploring in Alaska.",United States,Snowy,Afternoon,Winter,sightseeing,1211099,Contradictory
309,"A breathtaking aerial view of an overwater resort, surrounded by crystal-clear turquoise waters and lush green palm trees. This tranquil and beautiful spot is perfect for relaxation and swimming.",Maldives,Sunny,Afternoon,Summer,relaxing,1211115,Consistent
310,A beautiful evening view of Santorini�s iconic white houses glowing with warm lights as they overlook the calm blue sea. I chose this place because it feels magical and peaceful during sunset.,Greece,Sunny,Evening,Summer,sightseeing,1211115,Consistent
311,"A stunning coastal view of colorful villas built into the cliffs of Portofino, overlooking clear turquoise water filled with small boats. I chose this place because it looks peaceful, elegant, and perfect for a summer getaway.",Italy,Sunny,Afternoon,Summer,water,1211115,Consistent
312,"A breathtaking winter view of Hallstatt, a charming lakeside village surrounded by snowy mountains and traditional wooden houses. I chose this place because it looks peaceful, magical, and picture-perfect in the snow.",Austria,Snowy,Morning,Winter,sightseeing,1211115,Contradictory
313,"A vibrant night street scene in Tokyo, filled with glowing neon signs, taxis, and people walking through the busy city. I chose this place because it shows the energetic, futuristic side of Japan.",Japan,Sunny,Night,Not Clear,urban,1211115,Contradictory
314,"A stunning view of Plaza de Espa�a, featuring its grand semi-circular building, arched walkways, and a large central fountain. The colorful tiles, canals, and wide open plaza make this place feel both historic and lively.",Spain,Cloudy,Afternoon,Spring,sightseeing,1211115,Consistent
315,A beautiful autumn scene in Tbilisi with golden trees lining the river and the modern Bridge of Peace in the background. The soft sunlight and colorful leaves make the place look warm and cozy.,Georgia,Sunny,Morning,Fall,walking,1211115,Consistent
316,"A magical night view of Petra�s Treasury lit by hundreds of glowing candles, casting warm light on the ancient carved stone. I chose this place because it feels mystical and full of history.",Jordan,Sunny,Night,Not Clear,cultural,1211115,Contradictory
317,"A breathtaking view of a crystal-clear lake reflecting tall, rugged mountains covered with snow patches and dense pine forests. I chose this place because it looks peaceful, pure, and incredibly beautiful.",Canada,Sunny,Morning,Spring,hiking,1211115,Consistent
318,"A beautiful view of a giraffe walking through the savannah at sunrise, surrounded by tall trees and golden grass. The warm sunlight creates a peaceful and magical atmosphere.",Tanzania,Sunny,Morning,Summer,adventure,1211115,Consistent
319,"The Colosseum in Rome on a bright day. I have been there before, but I would love to go again to walk around the ancient arena and feel the history.",Italy,Sunny,Afternoon,Summer,sightseeing,1211223,Consistent
320,"Lauterbrunnen Valley in Switzerland with steep cliffs, waterfalls, and green meadows. I have visited Switzerland before, but I want to go back and hike in views like this again.",Switzerland,Sunny,Morning,Summer,hiking,1211223,Consistent
321,"Kirkjufell mountain and the nearby water in Iceland, with soft light and dramatic clouds that make it look like a fantasy landscape.",Iceland,Cloudy,Afternoon,Summer,sightseeing,1211223,Consistent
322,"Concept image of a futuristic esports and gaming arena in Saudi Arabia, with colorful lights and a modern design that feels like a real-life gaming hub.",Saudi Arabia,Not Clear,Evening,Not Clear,entertainment,1211223,Contradictory
323,"View of Santorini in Greece, with white buildings and blue rooftops overlooking the sea and volcano, showing the classic romantic island scenery.",Greece,Sunny,Afternoon,Summer,sightseeing,1211223,Consistent
324,"Rocky coastline and blue sea in Malta, with clear water and bright daylight that makes it look like a perfect place to explore and swim.",Malta,Sunny,Afternoon,Summer,sightseeing,1211223,Consistent
325,"Statue of Luffy from One Piece in Kumamoto, Japan, surrounded by greenery. I chose it because I want to visit Japan and see anime and One Piece figures in real life.",Japan,Sunny,Afternoon,Spring,sightseeing,1211223,Consistent
326,"Coastal view in Lebanon with the sea, rocks, and city buildings in the distance, showing a mix of nature and urban life.",Lebanon,Sunny,Afternoon,Summer,sightseeing,1211223,Consistent
327,"Resort in the Maldives with villas over the water, palm trees, and a calm ocean, looking like the perfect place to relax by the beach.",Maldives,Sunny,Afternoon,Winter,relaxing,1211223,Consistent
328,"Hong Kong city skyline at night with bright lights and tall buildings, capturing the feeling of a modern smart city full of energy.",Hong Kong,Not Clear,Evening,Not Clear,sightseeing,1211223,Contradictory
329,This image shows a hiker standing in the middle of mountains in a place called Drakensberg in South Africa. I chose this place because of the contemplation feeling in it.,South Africa,Sunny,Morning,Spring,hiking,1211234,Consistent
330,this is a photo of a little Palestinian girl that is smiling in front of the dome of the rock in Jerusalem Palestine. i chose this place cause it is a place that brings memories to me,Palestine,Cloudy,Afternoon,Fall,unknown,1211234,Consistent
331,this is a photo of a visiter that is standing in front of pyramids in Egypt in the middle of the day and i chose this place cause it is a place that i really want to visit,Egypt,Sunny,Morning,Summer,sightseeing,1211234,Consistent
332,this photo of two people that are skydiving in Switzerland and i choose this place because it is a place i want to visit,Switzerland,Sunny,Morning,Spring,adventure,1211234,Consistent
333,this photo shows people standing and cars moving in night in a street in Tokyo and I chose this place cause it is a place that i want to visit,Japan,Rainy,Evening,Winter,unknown,1211234,Consistent
334,this is a photo of a group of people and animals that looks like they are skiing on snow in Russia and I chose this place cause i want to try skydiving when visiting Russia,Russia,Snowy,Afternoon,Winter,winter_sport,1211234,Consistent
335,this photo is a photo for a place called the Roman Colosseum that was a place for the entertainment events. and i chose this place cause it is one of the seven wonders of the world,Italy,Sunny,Afternoon,Summer,unknown,1211234,Consistent
336,this is a photo of large stone statues called Maoi they were created to honor important ancestors or chiefs. It is an island in the Pacific Ocean and it is follows the country of Chile in South America and i chose this place cause it is one of the sites that i really want to see in the future,Chile,Cloudy,Afternoon,Fall,unknown,1211234,Consistent
337,this is a photo of a mosque called Aya Sofya that is in turkey and i chose this place cause it is a place that i want to visit in the future,Turkey,Not Clear,Afternoon,Fall,unknown,1211234,Contradictory
338,this is a photo of a place that is called the Socotra Island that is in Yemen and the tree in the photo is called a Dragon blood tree and i chose this place cause it fascinates me,Yemen,Sunny,Afternoon,Summer,hiking,1211234,Consistent
339,"A warm evening skyline of Glasgow with historic towers and green landscapes glowing under golden light. I chose this image because it highlights the cities mix of culture, architecture, and peaceful nature.",United Kingdom (Scotland),Sunny,Afternoon,Summer,sightseeing,1211242,Consistent
340,"A beautiful view of Edinburgh at dusk, highlighting the historic architecture, warm street lights, and iconic skyline. I chose this image because the city feels magical when the lights begin to glow over the old stone buildings.",United Kingdom (Scotland),Not Clear,Evening,Fall,sightseeing,1211242,Consistent
341,"A stunning view of the Alhambra overlooking Granada at golden hour, with warm sunlight in the background. I chose this image because it captures the perfect blend of history, architecture, and natural beauty.",Spain,Sunny,Afternoon,Spring,sightseeing,1211242,Consistent
342,"A breathtaking view of Ibb's green mountains wrapped in mist, with terraced fields and scattered traditional homes. I chose this image because it shows the calm, peaceful nature of Yemen highlands and their unique beauty.",Yemen,Rainy,Morning,Winter,hiking,1211242,Contradictory
343,"A striking view of Thee Ain, the ancient marble village in Al-Baha, surrounded by rugged mountains and dramatic clouds. I chose this image because the villages bright stone structures and natural landscape make it one of Saudi Arabia most beautiful heritage sites.",Saudi Arabia,Sunny,Morning,Not Clear,sightseeing,1211242,Consistent
344,"A serene view of Lucerne is iconic Chapel Bridge reflected on the calm lake, with the wooden tower and alpine backdrop creating . I chose this image because it captures the charm of Swiss lakeside towns and the warmth of traditional architecture.",Switzerland,Snowy,Afternoon,Winter,relaxing,1211242,Consistent
345,"An elevated view of Machu Picchu nestled high in the Andes, with ancient stone terraces, and dramatic green valleys. I chose this image because it captures the mystery, history, and breathtaking nature of the Incan ruins.",Peru,Cloudy,Morning,Spring,hiking,1211242,Consistent
346,A stunning view of the Hungarian Parliament Building glowing over the Danube River. I chose this image because it captures the elegance and grandeur of Budapest during sunset.,Hungary,Not Clear,Evening,Not Clear,sightseeing,1211242,Contradictory
347,"A vibrant night view of Tokyo's skyline, with glowing neon lights, modern skyscrapers, and the iconic Tokyo Tower rising above the city. I chose this image because it captures the energetic, futuristic atmosphere that makes Tokyo unique.",Japan,Cloudy,Afternoon,Winter,sightseeing,1211242,Consistent
348,"A bright spring view of Jeju Island, with blooming yellow canola flowers surrounding the walking path and the deep blue sea in the background. I chose this image because it shows Jeju's peaceful nature and its famous spring landscapes.",South Korea,Sunny,Morning,Spring,relaxing,1211242,Consistent
349,"Eiffel Tower in Paris, an iconic symbol of romance and French culture. I've always dreamed of seeing it lit up at night.",France,Sunny,Afternoon,Summer,sightseeing,1211246,Consistent
350,"Mount Fuji viewed from Lake Kawaguchi, a serene and spiritual symbol of Japan.",Japan,Sunny,Morning,Spring,sightseeing,1211246,Consistent
351,"Machu Picchu, Peru � a mystical Incan city high in the Andes mountains, inspiring awe and adventure.",Peru,Cloudy,Afternoon,Fall,hiking,1211246,Consistent
352,New York City skyline � the vibrant energy of the city that never sleeps.,USA,Cloudy,Evening,Winter,sightseeing,1211246,Consistent
353,"Santorini, Greece � the stunning white buildings with blue domes over the Aegean Sea evoke peace and love.",Greece,Sunny,Evening,Summer,relaxing,1211246,Consistent
354,Northern Lights in Iceland � an awe-inspiring natural phenomenon I�ve always wanted to witness.,Iceland,Not Clear,Evening,Winter,sightseeing,1211246,Contradictory
355,"Cappadocia, Turkey � floating in a hot air balloon over fairy chimneys looks magical.",Turkey,Sunny,Morning,Fall,sightseeing,1211246,Consistent
356,"Petra, Jordan � the rose-red ancient city carved into rock, full of history and mystery.",Jordan,Sunny,Afternoon,Spring,sightseeing,1211246,Consistent
357,Victoria Falls on the border of Zimbabwe and Zambia � one of the largest and most powerful waterfalls on Earth.,Zimbabwe/Zambia,Rainy,Afternoon,Summer,sightseeing,1211246,Consistent
358,"Great Barrier Reef, Australia � a vibrant underwater world teeming with marine life.",Australia,Sunny,Morning,Spring,water,1211246,Consistent
359,"A stunning sunset view of Maldives overwater villas surrounded by crystal-clear turquoise water and palm-covered beaches. I chose this image because it reflects the peaceful, luxurious, and dream-like beauty of the islands.",Maldives,Sunny,Evening,Summer,relaxing,1211458,Consistent
